chapter,part,line,value,context,family,source,status,note
3,body,23,0.024,"run through observed teaching quality, which enters at $0.024$ and leaves both",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,25,0.37,another: the warm-and-strict schools sit $0.37$ of a grade above the rest and,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED,quadrant contrast on the primary spec
3,body,42,8,"schools, and the Progress~8 measure published by the Department for",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,101,8,dominated by error and unstable from year to year. Progress~8 is used here,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,104,"2,","strongest predictor of GCSE performance, prior attainment at Key Stage~2, and",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,107,8,"two cohorts and by showing, in the appendix, that a school's Progress~8 is in",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,115,13,excludes schools that admit pupils only at 13 or 14; and the strictness result,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,body,115,14,excludes schools that admit pupils only at 13 or 14; and the strictness result,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,body,123,0.14,"associated with $0.14$ of a grade higher Progress~8, and in observed",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,123,"8,","associated with $0.14$ of a grade higher Progress~8, and in observed",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,124,0.13,"strictness with $0.13$, both significant at the one per cent level, and both",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,body,126,0.22,"each dimension carries a coefficient of about $0.22$, so the two share some",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,148,"8,","\textbf{Outcomes.} The outcome is Progress~8, the Department for Education's",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,152,2,Stage~2 result; the differences are averaged across the school's cohort. A,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,153,+0.5,school at zero is exactly average for its intake; $+0.5$ means its pupils,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,155,-0.5,"starting point, and $-0.5$ half a grade less. Nationally the measure has a",representativeness,generate_representativeness_outputs.py on gs_data_tier (rebuilt),OK,
3,body,156,0.5,standard deviation across schools of about $0.5$ and an interquartile range,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,159,8,subject for every pupil. The paper reports overall Progress~8 and its English,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,165,23,constructed. The primary outcome is the two-year average of the 2022/23 and,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,166,24,"2023/24 cohorts, the two post-pandemic years for which a Key Stage~2 baseline",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,166,2,"2023/24 cohorts, the two post-pandemic years for which a Key Stage~2 baseline",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,168,25,"The 2024/25 cohort has no baseline, because its Key Stage~2 tests were",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,168,2,"The 2024/25 cohort has no baseline, because its Key Stage~2 tests were",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,174,0,"0--10 scale, for the \NTierOne{} visited schools, entered per standard",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),HELD (C3-1),"body coefficients are per point of the 0-10 scale, not per SD; Damian's decision"
3,body,174,--10,"0--10 scale, for the \NTierOne{} visited schools, entered per standard",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),HELD (C3-1),"body coefficients are per point of the 0-10 scale, not per SD; Damian's decision"
3,body,176,6.6,schools enacted warmth has mean $6.6$ and standard deviation $1.0$ and enacted,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,body,176,1.0,schools enacted warmth has mean $6.6$ and standard deviation $1.0$ and enacted,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,body,177,7.0,"strictness mean $7.0$ and standard deviation $0.9$, so a standard deviation is",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,body,177,0.9,"strictness mean $7.0$ and standard deviation $0.9$, so a standard deviation is",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,body,186,2,\textbf{Controls.} All specifications condition on the mean Key Stage~2,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,187,8,"score of the cohort, which guards against the possibility that Progress~8 is",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,202,13,\textbf{Sample.} Two exclusions apply. Schools whose statutory entry age is 13,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,203,98,"or above (university technical colleges, studio schools and similar; 98",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,205,8,"regression: Progress~8 measures progress from age 11, and these schools enrol",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,205,"11,","regression: Progress~8 measures progress from age 11, and these schools enrol",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,206,13,"their pupils at 13 or 14, so their figure attributes to them progress made",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,206,"14,","their pupils at 13 or 14, so their figure attributes to them progress made",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,210,8,statistics for outcomes and controls. The visited schools' mean Progress~8 is,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,214,29,ones and to the country: 29 per cent of pupils eligible for free school,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,215,16,"meals, 16 per cent with special educational needs, three-quarters academies,",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,219,28,"additional language, 28 per cent against 21 in the interviewed sample, which",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,body,219,21,"additional language, 28 per cent against 21 in the interviewed sample, which",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,body,221,0.3,between the culture scores and the controls are all below $|0.3|$,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,245,1,"+ \sum_g \delta_g \,\mathbb{1}[G_s = g] + \varepsilon_s ,",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,248,8,"where $Y_s$ is the two-year average Progress~8 (overall, English or Maths) of",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,252,100,"(HC3), the small-sample variant appropriate to $n$ near 100. Three stages are",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,265,2,Stage~2 control guards the residual. Because the culture measures come from,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,270,25,in 2024/25 is a fair reading of what the 2022/23 and 2023/24 cohorts,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,270,23,in 2024/25 is a fair reading of what the 2022/23 and 2023/24 cohorts,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,270,24,in 2024/25 is a fair reading of what the 2022/23 and 2023/24 cohorts,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,272,"8,","Progress~8, and the structural characteristics that shape it, are stable",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,275,0.05,"$0.05$ of the primary ones. Because the 2019 grade is held constant, the",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,279,13,"schools that enrol at 13 or 14, no school is credited with progress it did",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,279,"14,","schools that enrol at 13 or 14, no school is credited with progress it did",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,305,0.002,coefficient of $\hat{\beta}_W = \PrimarySpecW$ ($p = 0.002$) and observed,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,306,0.007,strictness $\hat{\beta}_S = \PrimarySpecS$ ($p = 0.007$) on overall,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,307,"8,","Progress~8, with $R^2 = 0.62$. The table shows the same equation under four",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,307,2,"Progress~8, with $R^2 = 0.62$. The table shows the same equation under four",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,307,0.62,"Progress~8, with $R^2 = 0.62$. The table shows the same equation under four",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,309,95,($n = 95$) to dropping the control ($n = 100$); the coefficients move by less,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,309,100,($n = 95$) to dropping the control ($n = 100$); the coefficients move by less,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,310,0.02,than $0.02$ across the four. The two dimensions contribute with near-equal,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,317,0.14,scale of every warmth item in every lesson observed. The associated $0.14$ of a grade is about a quarter of a,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,body,318,8,"standard deviation of school Progress~8 nationally, about a quarter of the",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,319,8,gap in mean Progress~8 between schools graded Outstanding and Good in 2019,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,320,0.53,"($0.53$), and about a quarter of the gap between the least and most",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,body,321,0.62,disadvantaged quarter of schools by free-school-meal share ($0.62$). Two,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,328,0.22,"Entered alone, each dimension carries a coefficient of about $0.22$",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,329,0.218,(\cref{tab:univariate_ws}): $0.218$ for warmth and $0.228$ for strictness.,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,body,329,0.228,(\cref{tab:univariate_ws}): $0.218$ for warmth and $0.228$ for strictness.,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,body,339,0.167,"At the component level English is warmth-led (warmth $0.167$, $p < 0.001$;",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,body,339,0.001,"At the component level English is warmth-led (warmth $0.167$, $p < 0.001$;",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,body,340,0.087,"strictness $0.087$, $p = 0.083$) and Maths balanced (warmth $0.112$,",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,body,340,0.083,"strictness $0.087$, $p = 0.083$) and Maths balanced (warmth $0.112$,",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,body,340,0.112,"strictness $0.087$, $p = 0.083$) and Maths balanced (warmth $0.112$,",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,body,341,0.041,"$p = 0.041$; strictness $0.110$, $p = 0.036$). One reading is that English,",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,body,341,0.110,"$p = 0.041$; strictness $0.110$, $p = 0.036$). One reading is that English,",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,body,341,0.036,"$p = 0.041$; strictness $0.110$, $p = 0.036$). One reading is that English,",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,body,351,8,predicts overall Progress~8 at $0.245$ ($p < 0.001$) but with a lower $R^2$,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,351,0.245,predicts overall Progress~8 at $0.245$ ($p < 0.001$) but with a lower $R^2$,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,351,0.001,predicts overall Progress~8 at $0.245$ ($p < 0.001$) but with a lower $R^2$,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,351,2,predicts overall Progress~8 at $0.245$ ($p < 0.001$) but with a lower $R^2$,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,352,0.55,($0.55$) than the two culture scores. Added to the primary specification it,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,353,0.024,"enters at $0.024$ ($p = 0.76$), and the culture coefficients are unchanged",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,353,0.76,"enters at $0.024$ ($p = 0.76$), and the culture coefficients are unchanged",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,354,0.131,($0.131$ and $0.126$). Warmth for Maths slips past the five per cent threshold,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,body,354,0.126,($0.131$ and $0.126$). Warmth for Maths slips past the five per cent threshold,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,body,355,0.115,"once teaching enters ($p = 0.115$), which is unsurprising given how much",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,383,0.37,"be tested. Formally, the warm-and-strict quadrant sits $0.37$ of a grade",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",FIXED,quadrant contrast on the primary spec
3,body,384,0.001,"above the rest of the sample after controls ($p < 0.001$), while the",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,385,0.045,"interaction between the two standardised scores is null ($0.045$, $p = 0.25$;",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,385,0.25,"interaction between the two standardised scores is null ($0.045$, $p = 0.25$;",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,392,0.108,"($0.108$, $p = 0.023$) and in-lesson strictness ($0.120$, $p = 0.009$)",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),FIXED,sub-scores on the primary spec
3,body,392,0.023,"($0.108$, $p = 0.023$) and in-lesson strictness ($0.120$, $p = 0.009$)",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),FIXED,sub-scores on the primary spec
3,body,392,0.120,"($0.108$, $p = 0.023$) and in-lesson strictness ($0.120$, $p = 0.009$)",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),FIXED,sub-scores on the primary spec
3,body,392,0.009,"($0.108$, $p = 0.023$) and in-lesson strictness ($0.120$, $p = 0.009$)",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),FIXED,sub-scores on the primary spec
3,body,401,8,Progress~8 (two-year average). Dashed lines mark sample medians. The,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,408,0.055,reduces the warmth coefficient to $0.055$ ($p = 0.29$); espoused strictness,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",FIXED (C3-3),espoused on the primary spec n=99
3,body,408,0.29,reduces the warmth coefficient to $0.055$ ($p = 0.29$); espoused strictness,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",FIXED (C3-3),espoused on the primary spec n=99
3,body,409,0.115,"retains a smaller association ($0.115$, $p = 0.018$). The measurement",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED (C3-3),espoused on the primary spec n=99
3,body,409,0.018,"retains a smaller association ($0.115$, $p = 0.018$). The measurement",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED (C3-3),espoused on the primary spec n=99
3,body,423,0.14,associated with progress ($0.14$ per standard deviation) with the caveat that,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",HELD (C3-1),"body coefficients are per point of the 0-10 scale, not per SD; Damian's decision"
3,body,430,0.001,"without the grade it carries $\BetaNationalStrictness$ ($p < 0.001$,",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,431,2,$R^2 = 0.52$; \cref{tab:national_strictness}); with the 2019 grade added,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,431,0.52,$R^2 = 0.52$; \cref{tab:national_strictness}); with the 2019 grade added,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,432,2,"($n = 2{,}746$) it carries $0.203$, and no component estimate moves by more",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED (C3-2),national extension on primary sample rules
3,body,432,746,"($n = 2{,}746$) it carries $0.203$, and no component estimate moves by more",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED (C3-2),national extension on primary sample rules
3,body,432,0.203,"($n = 2{,}746$) it carries $0.203$, and no component estimate moves by more",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED (C3-2),national extension on primary sample rules
3,body,433,0.01,than $0.01$. Two things follow. The first concerns the score itself. A score,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED (C3-2),national extension on primary sample rules
3,body,460,0.140,or absorbing part of it: dropping it leaves $0.140$ and $0.127$ ($n = 100$).,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,460,0.127,or absorbing part of it: dropping it leaves $0.140$ and $0.127$ ($n = 100$).,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,460,100,or absorbing part of it: dropping it leaves $0.140$ and $0.127$ ($n = 100$).,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,462,24,the single 2023/24 outcome year gives $0.158$ and $0.126$. Strict schools,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,462,0.158,the single 2023/24 outcome year gives $0.158$ and $0.126$. Strict schools,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,462,0.126,the single 2023/24 outcome year gives $0.158$ and $0.126$. Strict schools,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,464,16,gain in measured progress by that route: adding the 2015/16 baseline share,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,466,0.156,"$0.156$ and $0.105$ ($n = 94$), and the sorting channel accounts for under a",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,466,0.105,"$0.156$ and $0.105$ ($n = 94$), and the sorting channel accounts for under a",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,466,94,"$0.156$ and $0.105$ ($n = 94$), and the sorting channel accounts for under a",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,467,8,tenth of the strictness association (\cref{tab:semh_mechanism}). Progress~8,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,468,25,"might be peculiar: on the 2024/25 cohort's Attainment~8, which does not",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,468,"8,","might be peculiar: on the 2024/25 cohort's Attainment~8, which does not",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,470,1.17,"four buckets ($1.17$, $1.73$ points) and on the English bucket alone ($0.31$,",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,470,1.73,"four buckets ($1.17$, $1.73$ points) and on the English bucket alone ($0.31$,",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,470,0.31,"four buckets ($1.17$, $1.73$ points) and on the English bucket alone ($0.31$,",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,471,0.22,$0.22$). All of these leave both coefficients significant at the five per,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,475,8,Progress~8 is stable across years (mean within-school standard deviation,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,476,0.20,"$0.20$, against a between-school standard deviation of about $0.5$), which",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,476,0.5,"$0.20$, against a between-school standard deviation of about $0.5$), which",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,body,478,25,"culture during it (\cref{tab:stability_p8}), and the 2024/25 pseudo-progress",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,480,0.05,coefficients within $0.05$ of their real-Progress~8 counterparts,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",FIXED,pseudo-P8 twin difference 0.047
3,body,480,8,coefficients within $0.05$ of their real-Progress~8 counterparts,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",FIXED,pseudo-P8 twin difference 0.047
3,body,481,22,(\cref{tab:p8_proxy}). Restricting to the 22 schools whose headteacher is,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,510,0.14,associated with $0.14$ of a grade higher Progress~8 and a standard deviation,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,510,8,associated with $0.14$ of a grade higher Progress~8 and a standard deviation,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,511,0.13,"of observed strictness with $0.13$, both significant at the one per cent",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,appendix,553,3,{\LARGE\bfseries Appendix to Chapter 3}\\[6pt],structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,appendix,553,6,{\LARGE\bfseries Appendix to Chapter 3}\\[6pt],structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,appendix,560,8,"tables (the chapter body reports overall, English and Maths Progress~8; the",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,562,8,"analyses, and a short section explaining how the Progress~8 measures and the",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,570,8,Progress~8 measures the progress a pupil makes between the end of primary,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,574,2,"the same Key Stage~2 starting point, and the difference is averaged across",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,appendix,575,+0.5,the school. A school at zero is exactly average; a school at $+0.5$ achieves,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,appendix,605,--24,"the 2023--24 performance tables, because the Department for Education",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,appendix,608,"4,","divided by the number of pupils at the end of Key Stage~4, and the",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,appendix,629,0.69,per-pupil expenditure. Six of nine variables exceed ICC~$= 0.69$; all,stability,generate_structural_stability.py / ch3_appendix_stability.csv (rerun),OK,
3,appendix,630,0.49,exceed~$0.49$. Intake characteristics---the share of pupils with English as an,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,appendix,632,0.81,"cohort---are especially stable, with ICC values between 0.81 and 0.92 and mean",stability,generate_structural_stability.py / ch3_appendix_stability.csv (rerun),OK,
3,appendix,632,0.92,"cohort---are especially stable, with ICC values between 0.81 and 0.92 and mean",stability,generate_structural_stability.py / ch3_appendix_stability.csv (rerun),OK,
3,appendix,634,0.67,"Special educational needs prevalence (EHC plan share, ICC~$= 0.67$; SEN support",stability,generate_structural_stability.py / ch3_appendix_stability.csv (rerun),OK,
3,appendix,635,0.65,"share, ICC~$= 0.65$) and school-level Progress~8 (ICC~$= 0.73$) show moderate to",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,635,8,"share, ICC~$= 0.65$) and school-level Progress~8 (ICC~$= 0.73$) show moderate to",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,635,0.73,"share, ICC~$= 0.65$) and school-level Progress~8 (ICC~$= 0.73$) show moderate to",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,636,0.52,"high stability. Per-pupil expenditure, at ICC~$= 0.52$, is the most volatile,",stability,generate_structural_stability.py / ch3_appendix_stability.csv (rerun),OK,
3,appendix,643,--25,support the use of culture scores measured in 2024--25 as proxies for the,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
